ID,Sted,Beskrivelse,Postnr,Pris (NOK),Latitude,Longitude
4,Skedsmo,Oslo 1,0001,690,59.9127,10.7461
4,Skedsmo,Oslo 1,1295,690,59.9127,10.7461
5,Skedsmo,Oslo 2,1300,690,59.8979,10.4906
5,Skedsmo,Oslo 2,1435,690,59.6525,10.8167
6,Skedsmo,Oslo 3,1461,690,59.938,10.9548
6,Skedsmo,Oslo 3,1488,690,60.1126,10.8317
7,Skedsmo,Oslo 4,1972,690,59.7106,11.4754
7,Skedsmo,Oslo 4,2029,690,59.9452,11.042
8,Skedsmo,Oslo 5,2040,690,60.0539,11.1413
8,Skedsmo,Oslo 5,2069,690,60.1571,11.185
9,Bergen,Bergen,5003,690,60.393,5.3242
9,Bergen,Bergen,5097,690,60.393,5.3242
10,Stavanger,Stavanger 1,4000,590,58.97005 5.73332
10,Stavanger,Stavanger 1,4099,590,58.9701,5.7333
11,Stavanger,Stavanger 2,4300,590,58.8524,5.7352
11,Stavanger,Stavanger 2,4339,590,58.7642,5.8525
12,Trondheim,Trondheim 1,7003,490,63.4305,10.3951
12,Trondheim,Trondheim 1,7099,490,63.3806,10.3463
13,Trondheim,Trondheim 2,7224,690,63.2856,10.2781
13,Trondheim,Trondheim 2,7550,690,63.4108,10.7942
14,Trondheim,Trondheim 3,7560,590,63.4373,10.6266
14,Trondheim,Trondheim 3,7562,590,63.4333,10.6
17,Bergen,Bergen 2,5098,690,60.393,5.3242
17,Bergen,Bergen 2,5155,690,60.3266,5.3024
18,Bergen,Bergen 3,5160,690,60.3867,5.298
18,Bergen,Bergen 3,5163,690,60.3867,5.298
19,Bergen,Bergen 4,5164,690,60.3867,5.298
19,Bergen,Bergen 4,5223,690,60.3182,5.3532
20,Bergen,Bergen 5,5224,690,60.3182,5.3532
20,Bergen,Bergen 5,5228,690,60.3182,5.3532
21,Bergen,Bergen 6,5229,790,60.269,5.4289
22,Bergen,Bergen 7,5230,690,60.3366,5.3461
22,Bergen,Bergen 7,5237,690,60.3106,5.3455
23,Bergen,Bergen 8,5238,690,60.3106,5.3455
23,Bergen,Bergen 8,5239,690,60.3106,5.3455
24,Bergen,Bergen 9,5243,790,60.2634,5.3459
24,Bergen,Bergen 9,5244,790,60.2634,5.3459
25,Bergen,Bergen 10,5251,690,60.3152,5.2712
25,Bergen,Bergen 10,5254,690,60.3032,5.2855
26,Bergen,Bergen 11,5257,690,60.296,5.2655
26,Bergen,Bergen 11,5306,690,60.4466,5.2207
28,Trondheim,Trondheim 4,7563,690,63.4333,10.6833
29,Skedsmo,Drammen,3000,990,59.7491,10.1985
29,Skedsmo,Drammen,3048,990,59.7463,10.1072
30,Skedsmo,Drammen 1,3060,990,59.6281,10.3889
30,Skedsmo,Drammen 1,3066,990,59.7491,10.1985
31,Ski,Sarpsborg,1706,990,59.2822,11.118
31,Ski,Sarpsborg,1711,990,59.2832,11.0876
32,Ski,Sarpsborg 2,1721,990,59.2793,11.117
32,Ski,Sarpsborg 2,1727,990,59.303,11.1204
33,Ski,Askim,1807,675,59.5904,11.1748
33,Ski,Askim,1814,675,59.5912,11.1869
34,Ski,Askim 2,1830,675,59.5831,11.163
34,Ski,Askim 2,1832,675,59.591,11.1312
35,Ski,Moss,1500,930,59.4377,10.64
35,Ski,Moss,1539,930,59.4857,10.6927
36,Ski,Moss 2,1596,930,59.4335,10.6963
36,Ski,Moss 2,1599,930,59.4518,10.7278
37,Ski,Fredrikstad,1600,990,59.2131,10.9556
37,Ski,Fredrikstad,1679,990,59.1894,10.9
38,Ski,Mysen,1850,930,59.6019,11.3933
38,Ski,Mysen,1852,930,59.553,11.3391
39,Ski,Nordre Follo,1400,690,59.7136,10.8022
39,Ski,Nordre Follo,1422,690,59.7936,10.9033
40,Ski,Nesodden,1450,750,59.8621,10.6619
40,Ski,Nesodden,1459,750,59.8223,10.6884
41,Ski,Frogn,1440,700,59.6629,10.6313
41,Ski,Frogn,1455,700,59.7599,10.6592
42,Ski,Vestby,1540,700,59.5827,10.8441
42,Ski,Vestby,1556,700,59.518,10.6894
43,Ski,Ås,1407,650,59.7344,10.7545
44,Ski,Ås 2,1429,650,59.7344,10.7545
44,Ski,Ås 2,1435,650,59.6525,10.8167
45,Ski,Enebakk,1404,750,59.7936,10.9033
46,Ski,Enebakk 2,1911,750,59.8301,11.1447
46,Ski,Enebakk 2,1912,750,59.7444,11.1612
47,Ski,Enebakk 3,1914,750,59.7641,10.9525
48,Skedsmo,Askim 3,1807,990,59.5904,11.1748
48,Skedsmo,Askim 3,1814,990,59.5912,11.1869
49,Skedsmo,Askim 4,1830,990,59.5831,11.163
49,Skedsmo,Askim 4,1832,990,59.591,11.1312
50,Skedsmo,Moss 3,1500,990,59.4377,10.64
50,Skedsmo,Moss 3,1539,990,59.4857,10.6927
51,Skedsmo,Moss 4,1596,990,59.4335,10.6963
51,Skedsmo,Moss 4,1599,990,59.4518,10.7278
52,Skedsmo,Mysen 2,1850,990,59.6019,11.3933
52,Skedsmo,Mysen 2,1852,990,59.553,11.3391
53,Skedsmo,Nordre Follo 2,1400,690,59.7136,10.8022
53,Skedsmo,Nordre Follo 2,1422,690,59.7936,10.9033
54,Skedsmo,Nesodden 2,1450,990,59.8621,10.6619
54,Skedsmo,Nesodden 2,1459,990,59.8223,10.6884
55,Skedsmo,Frogn 2,1440,990,59.6629,10.6313
55,Skedsmo,Frogn 2,1455,990,59.7599,10.6592
56,Skedsmo,Vestby 2,1540,890,59.5827,10.8441
56,Skedsmo,Vestby 2,1556,890,59.518,10.6894
57,Skedsmo,Ås 3,1407,690,59.7344,10.7545
58,Skedsmo,Ås 4,1429,690,59.7344,10.7545
58,Skedsmo,Ås 4,1435,690,59.6525,10.8167
59,Skedsmo,Enebakk 4,1404,990,59.7936,10.9033
60,Skedsmo,Enebakk 5,1911,990,59.8301,11.1447
60,Skedsmo,Enebakk 5,1912,990,59.7444,11.1612
61,Skedsmo,Enebakk 6,1914,990,59.7641,10.9525
